star,Verfied_Audience_Comment,label
1.5,so you have a limited amount of hours to save mankind and you take a transatlantic flight halfway across the world...,-1
2.0,"you know a movie like this will just be action and not really any substance. but in this case the action was bad, poorly filmed, and just nonsensical. the fight scenes were shaky and blocky",-1
3.0,"on the story and action i would give a 3star. but the language was not necessary. would love to have taken my grandson  one more ticket sold, but no way. i know bad language is necessary at times. but not every other word",0
5.0,its so hilarious and so thrilling to watch. i can watch this movie over and over again ,1
4.0,utterly ridiculous but enjoyable just the same. its never boring  ill give it that.,1
3.0,it wasnt what i thought it was going to be. it was ok. some funny parts.,0
5.0,love the franchise. very good movie,1
5.0,"action packed with a good plotstory line. this was my second time seeing the movie, and brought my son who loved it too!",1
5.0,one of the few movies to actually make you laugh throughout,1
4.0,very good wish paul walker was alive,1
4.0,action packed and i liked the story line.,1
5.0,was a very exciting movie !!!!!!!! top class movie!!!!!!,1
5.0,great and entertaining and loved idris as the black superman,1
5.0,"my husband and i really enjoyed it!! it had the right amount of action and comedy, especially when we were surprised by kevin hart  ryan reynolds being in the movie.",1
5.0,action story line excellent!,1
3.0,"it was ok, i almost fell a sleep in the beginning twice. if i had to do it over again id waited till video.",0
5.0,"great banter between the stars, non stop action, not a bunch of bad language, just a good enjoyable action movie.",1
5.0,"funny, full of action, specially with vehicles, like always !!!",1
5.0,cant wait for the next one,1
5.0,"i liked all of the film, it was great.",1
5.0,i throughly enjoyed it!!!!,1
2.0,there was really nothing to this movie. i wouldnt pay to see it again unless it was a freebie.,-1
5.0,hilarious ! action packed! the suspense was phenomenal! job well done by amazing actors !,1
4.0,the action was awesome,1
5.0,i love it ... this was the best movie ever and can wait to fast and furious 9 ,1
4.0,too much comedy not enough action,1
5.0,"it was fantastic, love the rock !!!!",1
4.0,"the comedy, the action and drama. had it all!",1
5.0,"funny, fast. good story.",1
3.5,"i enjoyed each character in the film, as well as the theme of family. enjoyed the action sequences but would need a bit of polishing at some parts. overall, enjoyed the movie and the characters hobbs, shaw, hattie. hopefully when there is a sequel, they bring back hattie and shaws mom. ",0
5.0,loved all the action,1
5.0,"excellent acting! action packed! out of this world stunts.! exciting, funny.",1
4.5,movie was great. action packed.,1
5.0,"omg! i love any movie with dwayne johnson or jason statham.....but together? omg! loved, loved, loved this movie!!!",1
3.0,"fun action flick, basically super heroes in normal clothes. but at two and a half hours you kinda feel like youre getting beat up too.",0
5.0,"show was awesome! good story line, humor and fight scenes. the movie could have ended before the last destination fight scene vague to avoid spoiling and i would have been perfectly satisfied. oh but that last scene was everything....icing on the cake....seriously, i need a moment to reflect. yessss, yes, yes!",1
5.0,it was awesome from beginning to end. i enjoyed it immensely.,1
2.0,childish humor. silly and pointless schoolboy locker room talk. nice action sequences though,-1
5.0,the movie was awesome!!!,1
4.0,"i really liked the actors in the movie, but its not the same without vin diesel  his crew.",1
4.0,lots of action. well played between the rock and jason statham.,1
2.5,colossally stupid. way too much fighting that went on and on.,-1
2.0,okay..just rock and stratham fighting idris elba the whole movie..could have at least showed the computer guy,-1
3.0,"fun to watch and great driving scenes. not oscar worthy, but was not expecting it to be.",0
3.5,the rock in his native clothing,0
5.0,lots of action and humor,1
5.0,"soo good, must see if you love action, thriller with a bit of humor",1
4.5,pretty good actions but will prefer to see the whole gang from ff,1
5.0,"nothing to dislike about the movie. for action movie lovers, this is a fantastic movie that is full of action from start to finish",1
3.5,looking for more of the original crew to be part of the fast and furious movies . its what made them in the past good . not to say that the 2 head actors where not great . buts not the same without crew .,0
4.5,loved it so glad it didnt copy he original,1
4.0,"not really what i expect from a fast and furious movie but more of a side story, less cars. still great though.",1
5.0,lots of action  hilarious moments,1
4.0,so many good chuckles!!,1
5.0,action packed. they did the movie right,1
5.0,i loved the entire movie and enjoyed the guest appearances of certain people i didnt expect to see it had plenty of action and comedy i hope it gets a sequel,1
5.0,i loved the chemistry between the 2 costars. the movie was hilarious and action packed. hoping for a sequel.,1
5.0,hilarious! love hobbs  shaw,1
4.0,greta fun! exciting action!,1
0.5,missing some important actors,-1
5.0,love the action and interface,1
5.0,"it was great!, funny yet entertaining.",1
3.5,it was a really great movie,0
4.0,"funny and full of crazy action. check your brains at the door and just enjoy the movie for what it is a fun spectacle of quips, surprise cameos, and insane action sequences.",1
5.0,engaging from start to finish.,1
5.0,lots of action and comedy.,1
2.5,"i did not like the end when the sky was clear, then , moments later it started raining hard. try better next time, thank you.",-1
5.0,we cant wait until the next one!,1
3.5,its exactly what you would expect high octane action blockbuster madness. its better than it has any right to be and as ludicrous as the franchise has ever been. dont expect superb acting or compelling storytelling and youll have a good time.,0
5.0,i love it and it was awesome  amazing and funnnu,1
5.0,awesome from beginning to end.,1
4.0,predictable but fun.,1
5.0,"great comedyaction movie despite being over the top. the story is pretty generic but the fast pace, chemistry between the leads, and flashy action scenes make this a great movie to watch.",1
3.5,tons of action. plot is a bit much but thats the standard for these movies. really great action scenes!,0
5.0,action lots of it and good story line,1
5.0,the whole cast seemed to be in sync from beginning to end. loved the raw comedy and action.,1
4.0,i enjoyed it very much. it was entertaining eventhough certain scenes were a bit far fetched. idris elba character was a great adversary for hobbs and shaw. hobbs and shaw pairing was brilliant and i look forward to see another movie starring them.,1
4.0,pretty solid movie has some good comedic moments as well as very intriguing action moments,1
0.5,it was so bad. pretty much shut my eyes for most of it.,-1
4.0,i liked the humor in the script. too overloaded with special effects. i liked the towards the end going old school,1
5.0,very go movie lots of action,1
5.0,theyre still the best action movies as part of the fast and the furious movie!,1
4.0,i like the action and the comic relief. but the cg stuff went a little too far.,1
1.5,"this was an attempted spinoff of the original fast movies. this did not have the intensity of the originals. seriously, black superman. this was a way for johnson and statham to continue their careers, by being producers. the action was so bruce lee with neither actor showing injuries or being tired from the fights. this movie did not have the attention grabbing interest of other movies.",-1
5.0,lots of action and fun dialogue!,1
5.0,we loved it!! it was amazing!!!!!!,1
4.0,enjoyed the movie had some laughs and quite anit of action,1
5.0,loved the movie non stop action,1
4.5,"the perfect guilty pleasure. great villain, hilarious banter, amazing action and a moderately believable plot made for an excellent end of summer escape. cant wait for the hobbs and shaw sequel!",1
5.0,great action packed movie! keep my attention the entire time!,1
5.0,"love love love this movie!!!! it was great!!! love the action, the comedy, loved that it was filmed on the islands! love dwayne johnson he is one of my favorite actors! my favorite part had to be the samoan worrier fight scene where they took their shits off!! lol",1
2.5,i liked seeing the rock. i strongly disliked the extra audio that played with every action scene. nothing like extra loud kicks or punches. it was predictable. i actually fell asleep ,-1
5.0,it was very good. they did justice to all three actors included edris even though they only played up to two in the trailer. lets not forget the females were good too.,1
5.0,it was very funny and it has my two boyfriends dwayne johnson and jason statham...what else can i ask for...,1
4.0,action packed from the start,1
5.0,typical fast and furious movie with high action and fast cars. love it every time.,1
4.5,it was action packed through the whole movie and kept you on the edge of your seat the entire length of the movie.,1
2.5,parts of it were funny and intertaining but it was too obvious that it was unrealistic.,-1
5.0,"great movie! did not disappoint, tons of action as to be expected from the fast and furious franchise.",1
3.0,this movie was absolutely ridiculous but its decent if youre looking for brain dead action,0
5.0,the movie was action packed from beginning to the end. not once did i take my eyes off the screen ok lets be honest off idris elba. it was so good i would love to see it again,1
5.0,this was one of the best in the entire franchise.,1
3.0,it was just ok. the action was bad ass. for me it felt a bit forced between the two coatars.,0
5.0,it was so much action that it actually kept my attention throughout the movie. so much action with the right amount of comedy to keep me entertained.,1
4.0,samoa scenery and action,1
5.0,this was a great movie to take both the young and old to. fast enough to captivate the teens attention and carne enough for the seniors not to get furious with!,1
5.0,loved it!! action packed!!,1
3.0,"couldve been a little more better. theyll have another chance to redeem themselves, when the next one comes out. bringbacktheothercharacters",0
5.0,i liked it because hobbs  shaw are super smart and they know what theyre doing.,1
5.0,"love anything with the rock, good movie n funny",1
5.0,"this might be the greatest movie ever made! is it ridiculous? yes. is it juvenile? ofcourse but none of that matters because above all this movie is fun. all the jokes land, all the action movie tropes are perfect. everything about this movie is awesome. you even get to see roman reigns speer someone. perfect movie.",1
5.0,its a good movie. worth watching.,1
4.0,"loved most of the action...love love the stars...edris, dwayne and jason all very good actors..they were the best part of the movie even tho my guy edris was a bad guy. on the other hand the movie was a bit long winded and corny at times. still, i enjoyed it and will watch it again when it comes out on tv.",1
5.0,non stop action and the rock is so sexy,1
5.0,very entertaining!! my sons loved it.,1
5.0,"it was just what one would expect and definitely enjoy. its a action movie. no disappointment lots of cars crashes , fights and bad guys vs extra bad guys. humor is an extra level. also tender family issues which was another layer that i enjoyed.",1
4.5,"what i liked most were the surprise cameos, hilarious. go chase sequences and funny throughout.",1
4.0,i was surprised on how hilarious it was going to be! the rock and statham were a great duo and their banter just made the movie. we did intend to go see this movie but glad we did. i would definitely recommend this movie if you are looking for am action packed comedy.,1
4.5,lots of action and comedy!,1
5.0,i loved this movie. it has suspense and action. it makes you laugh and has a suprise ending too it. cant wait for the next installment of the fast and furious movies,1
5.0,"intriguing plot. fast action, lots of interesting twists and turns. humor. inspiring.",1
4.0,lots of action and comedy. we loved it!!,1
5.0,this movie confirms my belief that everyone needs to own a flamethrower. just because they are so much fun,1
5.0,"awesome. stunts were insane. i really liked those 3, fine men, which all 3 brought their own power and attention to life. i saw it twice.",1
4.0,action filled and good movie,1
4.5,action packed movie from beginning to end is what i like !,1
4.0,there was alot of action and it was funby too.,1
2.0,not much of a story really could have been better,-1
3.5,my first fast and furious movie. enjoyed the characters and the action,0
5.0,story and action awesome.,1
5.0,love it... love it... love it,1
4.0,good but slow in parts,1
4.0,good movie lots of action laughs enjoy it the stunts were unbelievable i would watch it also i recommend it to anyone looking to see an action movie,1
5.0,"if you like action movies dont miss this one! also, stat for the credits",1
5.0,the entire movie from beginning to end was absolutely incredible! must see!!!,1
5.0,"a super fun ride! pacing was intense enough to be entertaining without overwhelming. the humor hit on multiple levels, and had us cackling at all the right times.",1
5.0,"fast, furious, and fantastic!!!",1
4.0,"great story, well captured and beautifully edited. some parts were slightly cheesey and a tad to much cursing for my kids.",1
4.0,"i went to the movies to be entertained and got just that. very funny, unexpected camos kevin hart, just what i needed. lived up to the fast  furious name.",1
3.5,fun movie. made me want to see some of the other ff movies,0
5.0,outside of john wick 3 hobbs  shaw was the best action movie that ive seen in a while!,1
5.0,fun movie!!! lots of hilarious banter between hobbs and shaw!!! action was pretty good too.,1
5.0,it was great and hilarious.,1
1.0,unrealistic situations corny jokes and the plot was terrible. the bionic man was the worse part.,-1
5.0,very funny and entertaining,1
2.0,over the top. exaggerated action.,-1
1.0,it wasnt far from good,-1
3.0,"it was ok, not what i was expecting but an action tick non the less",0
5.0,"best movie ever!!!! had everything! action, comedy, love, and family!!! and the rock!!!",1
4.0,liked the talks between hobbs and shaw. pretty funny.,1
4.0,good humour and action. but does seem senseless some times. leave your brain home and then you will enjoy it.,1
4.5,funny and entertaining,1
5.0,"awesomeness r  s, never disappoint !",1
5.0,"great movie, a lot of action.",1
2.0,"just another mindless action flick, you would think with the running time there would be more depth but its just flat. the dialogue between the two was cringeworthy and overdone, could have seen this played out differently.",-1
5.0,great summer action movie !! great chemistry between the actors and lots of humor!!,1
5.0,lots of action and the dialogue was funny,1
4.0,fast paced  action packed like i love. it was great to have so much eye candy and sexy cars on one screen. it was funny  an adrenaline rush at the same time,1
5.0,great movie. action packed!,1
5.0,very good body count. meaning lots of killing and fighting. lots of action awesome movie. i highly recommend this movie.,1
5.0,love all the action and special stunts... even if it is cgi,1
4.0,"this was a good action movie, with great visual effects. i like that the bad guy had the best weapons, which is unexpected. the only drawback was that some of the lines were a bit cheesy.",1
5.0,"it was exactly as we expected. lots of action and interaction between the characters. hobbs and shaw are opposites and compete in the film. the final action seen was a bit too much over the top with the special effects and unbelievable in my elderly opinion. i guess i like movies that have car chases, for example, using real cars performing amazing feats like in the action film bullet. however, my wife loved the effects. it was really a lot of fun and we pigged out on popcorn too. we noticed there was lots of fighting and shooting as expected but no actual gore which was not needed. we will watch it again.",1
5.0,love the humor and the thrill of it! all the actors did a fantastic job!,1
5.0,one of 2019 best action movies a must see,1
5.0,dwayne johnson and jason stahem have great chemistry in this movie. the back and forth is funny.,1
5.0,i think this is one of the best fast and furious movies. it has a little bit of everything action and comedy.,1
5.0,i loved the way he went to his family for help...,1
3.5,slow  lots of talking not the best,0
3.0,the opening could have been better.,0
5.0,"funny, lot of action. good flick.",1
0.5,not what i expected it to be according to all the hype,-1
4.0,lots of action but not a race car movie. plot was ok. i really like duane johnson which is the main reason i went. ryan reynolds cameo was too funny. you have to stay till the very end of the movie. they do like three extra scenes. wait for the lights to dim up. we were the only ones left in the theater who saw the second and third clips.,1
5.0,it was awesome and more than we expected and might go see it again!,1
5.0,"love the rock, he plays these characters very well. some movies make me feel like i just wasted my money. this is not one of those movies.",1
4.0,"lots of action, good family values movie. very enjoyable.",1
4.0,"fun action movie, dont take it too seriously and you will enjoy yourself.",1
4.0,lot of action love it.,1
5.0,its a outstanding movie if you want all action you got it if you wanted a plot you got it those three actors and actress work well together it was a outstanding action movie and im looking forward to the sequel,1
5.0,extremely good action and adventure movie.,1
5.0,"i thought it was good, my only problem was that i think there was way to much emphasis on packing the movie with constant action, other than that funny, action packed, and warm family back bone.",1
5.0,the action was great. i liked the special effects,1
4.0,fast paced and fun. look for references to other characters these guys have played.,1
4.0,it was a good movie just didnt seem like a fast and furious movie though,1
5.0,actionpacked and characters had good chemistry together!,1
5.0,well coordinated action. just the way i love it ,1
5.0,"loved the action and the comedy in it, great actors and surprise appearances!!",1
4.0,it was very good movie to wacth it just a little bit kind off boring but then it gets good towards the middle,1
4.0,four stars for now and im assuming a part2 is on its way. the story line try not to make it choppy at least twice i saw it for brief seconds. other then that all categories into one with the action scenes awesome.,1
5.0,"it was an awesome movie, had action, it was funny,  the excitement was great. and i love the rock.",1
5.0,the action was mostly non stop. the humor between them was very well timed ants the sexual tension between hobbs and shaws sister was on point.,1
3.0,it was way to long of a movie and it dragged. my husband liked it though,0
5.0,"action packed, special effects were terrific!",1
3.0,"entertaining movie, with a lot of callbacks to prior ones. decent comedy mixed with action. but overall it was a average plot and a lot of unbelievable potholes. still worth watching if youre a fan of the series and the rock.",0
5.0,seats could be more comfortable,1
5.0,the whole movie was great!,1
5.0,"the action , the rock and john statmsn",1
5.0,great action with comedy thrown in... these two actors work so well with each other on the screen! written well too. full of unexpected action and surprises.,1
3.5,it was ok definitely more comedic than i thought it would be.,0
5.0,"great action film with two amazing actors! if youre a fan of the fast movies, youll absolutely love this one!",1
5.0,the action was amazing! the surprise for me anyway supporting actors perfect choices!,1
5.0,loved it ! action packed movie with humor and love !,1
4.5,it has alot of action and was one of my favorite movies,1
5.0,"nonstop action, muscles, girls, guns, and cars. its one of my favorite movies of the year! it is doing its own thing and it works. cant wait for the sequel!",1
5.0,really good movie....loved every second cant wait for part 2,1
2.0,nothing new. nothing exciting. acting was force and the dialogue was boring.... the fight scenes were not special nothing i havent seen ..... i know there is another one coming up..... i will wait for dvd or netflix to see it..... i thing they have run out of ideas....,-1
5.0,"lots of action and quite a bit of puns, banter, and some slapstick moments. lots of eye candy, would definitely recommend.",1
5.0,"it was funny, everything you expect from a movie like that",1
4.0,def a different experience then the other movies,1
5.0,i like everything about it funny a lot of action in it . worth seeing,1
5.0,omg this movie is freaking awesome..,1
5.0,major comedy action movie. the rock and jason do not disappoint.,1
5.0,great and super funny,1
1.0,we left within 15 minutes. stupid humor...,-1
5.0,great movie! fast paced and lots of action!,1
4.5,i liked the action and fight scenes but hobbs holding a helicopter dotdotdot thats a little much. good entertainment,1
3.5,i max was very loud with this movie.. smile,0
5.0,funny and action... best kind of movie there is.,1
5.0,action packed movie with a good plot!,1
5.0,fantastic! great action flick,1
5.0,great movie. lots of action  humor.,1
5.0,i liked everything but i dislike that it was too crowded and no room for things,1
5.0,love this movie all the way through.,1
3.0,i mean...it was entertaining.,0
5.0,"what a fun movie! i went in expecting stunningly dramatic action, and i got exactly that. amazing!",1
5.0,loved the slow mo..!!,1
3.0,"fun and fast paced, good action, and the rock and statham really work well together on screen.",0
5.0,great movie! action from beginning to end.,1
5.0,the chemistry between jason and dwight was delightful. it went through a whole range of emotions. it had lots of action interspersed with family drama.,1
5.0,"love it, super funny! my family enjoyed it!!!",1
5.0,i liked the action and the comrade between the rock and jason statham. the scenes in samoa were great!!!!,1
5.0,loved this movie! lots of action and humor.,1
4.5,loved it is all i can say,1
4.0,awesome it was a great movie,1
4.0,"a fun, action fueled, pop corn movie that deals with the themes of family, forgiveness, abandonment and reconciliation.",1
2.5,it was funny.... better than the others. the ending was battle was bleh with the family and the bad guys.,-1
5.0,shaw is a little wanker throughout the movie. plus a sidekick if you ask me.,1
5.0,so funny!! love both of the main characters!,1
5.0,love the play between these 2 sexy mf action avalanche! felt like i was them speeding out of the parking lot!,1
5.0,it was an action packed filled movie. awesome job. cant wait for the next one.,1
5.0,fun fast moving movie! we all enjoyed it and were pleasantly surprised!,1
2.0,"the movie sucked, the time portrayal was awful, the cinematography was excellent but the story telling was terrible. so bad it was funny. wouldnt reccomend.",-1
1.0,"weak storyline, didnt like the background music. expected more from a fast  furious branchout. would spend more money or time on the franchise.",-1
5.0,i loved the surprise of the guest actors and how they popped up! the graphic were amazing and the special effects really were exciting !!,1
5.0,this is nonstop action  fun!! impossible stunts  effects  great actors who play off each other seamlessly!! its laugh out loud  dont blink cause youll miss another impossible situation!! yeah...kinda liked it...,1
5.0,so much fun! action packed from start to finish! and the 2 big cameos were hilarious!,1
5.0,loved this movie tons of action!!! cant wait till the next one!!!,1
5.0,funny with a lot of action. you must see this.,1
2.5,started out great! lots of action. then the last half floundered with unnecessary sentimentality and old school predictability.,-1
3.5,it was really good! it was hilarious and got you in the feels too. loved it. the only thing that would have made it better is if at least one of the original team members would have been in it.,0
5.0,"really good movie, lots of action scenes, johnson and statham are a great duo!!",1
3.5,follows in the fast and furious franchise with hilarious banter between hobbs and shaw. fun movie but dont expect it to be at all realistic.,0
3.0,"kind of long, redundant.",0
3.0,a little too much nonfiction scene.,0
4.0,for someone who never watched any of the other past films i quite enjoyed this movie. i was just a little confused for some parts cause lack of knowledge from past movies still great though,1
5.0,i loved the comedy mixed with a good story and lots of great action scenes and lots of explosions of course.,1
4.0,lots of action. i loved the samoan kick ass,1
4.0,it was good! some parts didnt make sense lol but it was entertaining!,1
5.0,the movie was hilarious. i really enjoyed the playful banter between both the leads.,1
5.0,funny good combo of three main characters and secretly putting in ryan reynolds and kevin hart,1
3.0,okay movie but not up to par with the ff franchise. i know it was just a spinoff but i anticipated more.,0
5.0,packed with action!!!,1
4.5,"great acting. the action was nonstop, the special effects were awesome. cannot wait to see the sequel.",1
5.0,good mix comedic banter and action,1
3.0,"although it was a good movie, the beginning seemed a little bit dragged on",0
4.0,i liked the movie the only thing i really didnt care for was some of the parts were not realistic and could not really happen. just my opinion,1
5.0,loved it. i hope to see jason momoa as part of hobbs family next time!,1
4.0,this is a good comedic spin off of fast and furious. the action is there but overall i think this is best viewed as a comedy,1
5.0,those actions scenes were on point!!,1
4.0,"fun to watch, lots of action and humor. the slow stuff was like pulling the parking break at 100 mph, other than that it was a good movie.",1
5.0,it was amazing and funny,1
5.0,awesome movie! lots of action and good humor! stay thru the last credit! ,1
5.0,eventful and good relationship between the two of them,1
4.0,entertaining but too much with the cgi overall worth watching,1
5.0,awesome movie. lots of action. love the actors.,1
5.0,"just what we expected from these 2 actors. fire power, ass kicking, and explosion. enjoyed it very much.",1
4.0,luv the rock and jason statham! lots of action.,1
4.5,"two of my favorite alternatives to p... i mean two of the most talented, captivating, multidimensional performers were joined by a young lady i was immediately drawn to. i am a fan of owning your own s... and this movie does that from the plot to the personalities of the professionals. a",1
4.0,lots of action and banter between johnson and statham.,1
5.0,great movie. i loved the effects of all the action scenes.,1
5.0,bringing it home to the islands. loved that!,1
4.0,"i does have a lot action and very funny at moments, but also exaggerated at moments but at the end it a movie and keep you excited at the whole time.",1
5.0,"i love the fat  furious series  dwayne johnson, jason stratton, many good stars. the action scenes were pretty good, although, ive seen better in the fast  furious series. but, the way the two stars banter throughout really cracks me up.",1
4.0,i havent seen any movies with hobbs or shaw. i was pleasantly surprised how entertaining it was. lots and lots of action.,1
5.0,funny and exciting next chapter in this successful franchise. is there nothing the rock cant do?!,1
5.0,awesome show..we love you mr. rock!,1
5.0,i love the action and the playful banter between shaw and hobbs!!! will watch it over and over again,1
0.5,campy and poorly written.,-1
4.0,love dwayne and the other characters. just a little too much fighting for me.,1
5.0,"wow. action, comedy, surprise by kevin h. so good.",1
5.0,lots of action and funny dialogue. the rock and jason statham work well together.,1
5.0,"great movie, you should see it if your need a good action movie to watch",1
5.0,fun movie... loved the ryan reynolds cameo!!!,1
5.0,love the cast and the storyline. amazing movie!,1
5.0,loved the banter between dwayne johnson and jason statham. the action and chase scenes were fabulous.,1
4.5,rock and jason statham were hilarious. cant wait for the next film.,1
5.0,great spinoff to the fast  furious franchise. i hope there is more to come! great action and loved there dynamic together.,1
5.0,lots of funny moments and full of action,1
5.0,loved it lots of humor and action.,1
5.0,good movie there shall be more,1
5.0,"great movie, fun and full of action!",1
3.5,lots of action as expected.....,0
5.0,dwayne and jason have awesome chemistry and great comedic timing in this actionpacked over the top drama. would love to see ryan reynolds and kevin hart in future sequels. idris played a spectacular villain! and vanessa was kick as jasons sister! lovedit,1
5.0,"great casting, storyline, action packed throughout!",1
5.0,what didnt i love! badass movie!,1
3.0,nothing special like fast and furious. i saw because of jason statham.,0
5.0,loved the quick service and the movie kept me on the edge of my seat.,1
