star,Verfied_Audience_Comment,label
5.0,We snuck into IT 2 lol,1
2.0,"Didn't enjoy the movie at all, left after an hour, couldn't get m mind into it.",-1
3.0,"it was a good movie, but not like the fast and the furious movies. Funny, entertaining and good, but it had nothing to do with fast and furious.",0
3.5,"I went to go see “Fast and Furious”, but they messed around and made a Marvel movie! It was fun though",0
5.0,LOVED everything about this movie! Especially The Rock without his shirt on. Lol!,1
1.5,So you have a limited amount of hours to save mankind and you take a transatlantic flight halfway across the world...,-1
2.0,"you know a movie like this will just be action and not really any substance. But in this case the action was bad, poorly filmed, and just nonsensical. The fight scenes were shaky and blocky",-1
3.0,"On the story and action I would give a 3-star. BUT the language was not necessary. Would love to have taken my grandson ( one more ticket sold), but no way. I know bad language is necessary at times. But not every other word",0
5.0,It’s so hilarious and so thrilling to watch. I can watch this movie over and over again 😍,1
4.0,Utterly ridiculous but enjoyable just the same. It's never boring - I'll give it that.,1
3.0,It wasn't what I thought it was going to be. it was ok. some funny parts.,0
5.0,love the franchise. Very good movie,1
5.0,"Action packed with a good plot/story line. This was my second time seeing the movie, and brought my son who loved it too!",1
5.0,Very good movie had me on my toes!,1
5.0,One of the few movies to actually make you laugh throughout,1
4.0,very good wish Paul Walker was alive,1
4.0,Action packed and I liked the story line.,1
5.0,Was A Very EXCITING MOVIE !!!!!!!! TOP CLASS MOVIE!!!!!!,1
5.0,great and entertaining and loved Idris as the Black Superman,1
5.0,"My husband and I really enjoyed it!! It had the right amount of action and comedy, especially when we were surprised by Kevin Hart & Ryan Reynolds being in the movie.",1
5.0,action story line excellent!,1
3.0,"It was ok, I almost fell a sleep in the beginning twice. If I had to do it over again Id waited till video.",0
5.0,"Great banter between the stars, non stop action, not a bunch of bad language, just a good enjoyable action movie.",1
5.0,"Funny, full of action, specially with vehicles, like always !!!",1
5.0,Can’t wait for the next one,1
5.0,"I liked all of the film, it was great.",1
5.0,I Throughly Enjoyed It!!!!,1
2.0,There was really nothing to this movie. I wouldnt pay to see it again unless it was a freebie.,-1
5.0,Hilarious ! Action packed! The suspense was phenomenal! Job well done by amazing actors !,1
4.0,the action was awesome,1
5.0,I love it ... this was the Best movie ever and can wait to fast and furious 9 💙💙💙💙🤞🤞🤞,1
4.0,Too much comedy not enough action,1
5.0,"it was FANTASTIC, love the ROCK !!!!",1
4.0,"The comedy, the action and drama. Had it all!",1
5.0,"Funny, fast. Good story.",1
3.5,"I enjoyed each character in the film, as well as the theme of family. Enjoyed the action sequences but would need a bit of polishing at some parts. Overall, enjoyed the movie and the characters (Hobbs, Shaw, Hattie). Hopefully when there is a sequel, they bring back Hattie and Shaw’s mom. 😁",0
5.0,Loved all the action,1
5.0,"Excellent Acting! Action packed! Out of this world Stunts.! Exciting, Funny.",1
4.5,Movie was great. Action packed.,1
5.0,"Omg! I love any movie with Dwayne Johnson or Jason Statham.....but together? Omg! Loved, loved, loved this movie!!!",1
3.0,"Fun action flick, basically super heroes in normal clothes. But at two and a half hours you kinda feel like youre getting beat up too.",0
5.0,"Show was AWESOME! Good story line, humor and fight scenes. The movie could have ended before the last destination fight scene (vague to avoid spoiling) and I would have been perfectly satisfied. Oh but that last scene was EVERYTHING....icing on the cake....seriously, i need a moment to reflect. Yessss, yes, yes!",1
5.0,It was awesome from beginning to end. I enjoyed it immensely.,1
2.0,Childish humor. Silly and pointless schoolboy locker room talk. Nice action sequences though,-1
5.0,The movie was awesome!!!,1
4.0,"I really liked the actors in the movie, but its not the same without Vin Diesel & his crew.",1
4.0,Lots of action. Well played between The Rock and Jason Statham.,1
2.5,Colossally stupid. Way too much fighting that went on and on.,-1
2.0,Okay..just Rock and Stratham fighting Idris Elba the whole movie..could have at least showed the computer guy,-1
3.0,"Fun to watch and great driving scenes. Not Oscar worthy, but was not expecting it to be.",0
3.5,The rock in his native clothing😍😍,0
5.0,Lots of action and humor,1
5.0,"Soo good, must see if you love action, thriller with a bit of humor",1
4.5,Pretty good actions but will prefer to see the whole gang from FF,1
5.0,"Nothing to dislike about the movie. For action movie lovers, this is a fantastic movie that is full of action from start to finish",1
3.5,Looking for more of the original crew to be part of the fast and Furious movies . Its what made them in the past good . Not to say that the 2 head actors where not great . Buts not the same without crew .,0
4.5,loved it so glad it didn't copy he original,1
4.0,"Not really what I expect from a fast and furious movie but more of a side story, less cars. Still great though.",1
5.0,Lots of action & hilarious moments,1
4.0,So many good chuckles!!,1
5.0,action packed. they did the movie right,1
5.0,I loved the entire movie and enjoyed the guest appearances of certain people I didn't expect to see it had plenty of action and comedy I hope it gets a sequel,1
5.0,I loved the chemistry between the 2 co-stars. The movie was hilarious and action packed. Hoping for a sequel.,1
5.0,Hilarious! Love Hobbs & Shaw,1
4.0,Greta fun! Exciting action!,1
0.5,Missing some important actors,-1
5.0,Love the action and interface,1
5.0,"it was great!, funny yet entertaining.",1
3.5,It was a really great movie,0
4.0,"Funny and full of crazy action. Check your brains at the door and just enjoy the movie for what it is: a fun spectacle of quips, surprise cameos, and insane action sequences.",1
5.0,Engaging from start to finish.,1
5.0,Lots of action and comedy.,1
2.5,"I did not like the end when the sky was clear, then , moments later it started raining hard. Try better next time, thank you.",-1
5.0,We can't wait until the next one!,1
3.5,It's exactly what you would expect; high octane action blockbuster madness. It's better than it has any right to be and as ludicrous as the franchise has ever been. Don't expect superb acting or compelling storytelling and you'll have a good time.,0
5.0,I love it and it was awesome & amazing and funnnu,1
5.0,Awesome from beginning to end.,1
4.0,Predictable but fun.,1
5.0,"Great comedy/action movie despite being over the top. The story is pretty generic but the fast pace, chemistry between the leads, and flashy action scenes make this a great movie to watch.",1
3.5,Tons of action. Plot is a bit much but that's the standard for these movies. Really great action scenes!,0
5.0,Action lots of it and good story line,1
5.0,The whole cast seemed to be in sync from beginning to end. Loved the raw comedy and action.,1
4.0,I enjoyed it very much. it was entertaining eventhough certain scenes were a bit far fetched. Idris Elba character was a great adversary for Hobbs and Shaw. Hobbs and Shaw pairing was brilliant and I look forward to see another movie starring them.,1
4.0,Pretty solid movie has some good comedic moments as well as very intriguing action moments,1
0.5,It was so bad. Pretty much shut my eyes for most of it.,-1
4.0,I liked the humor in the script. Too overloaded with special effects. I liked the towards the end going old school,1
5.0,very go movie lots of action,1
5.0,They’re still the best action movies as part of the fast and the furious movie!,1
4.0,I like the action and the comic relief. But the CG stuff went a little too far.,1
1.5,"This was an attempted spinoff of the Original Fast Movies. This did not have the intensity of the Originals. Seriously, Black Superman. This was a way for Johnson and Statham to continue their careers, by being Producers. The action was so Bruce Lee with neither actor showing injuries or being tired from the fights. This movie did not have the attention grabbing interest of other movies.",-1
5.0,Lots of action and fun dialogue!,1
5.0,We loved it!! It was Amazing!!!!!!,1
4.0,Enjoyed the movie had some laughs and quite anit of action,1
5.0,loved the movie non stop action,1
4.5,"The perfect guilty pleasure. Great villain, hilarious banter, amazing action and a moderately believable plot made for an excellent end of summer escape. Can't wait for the Hobbs and Shaw sequel!",1
5.0,Great action packed movie! Keep my attention the entire time!,1
5.0,"Love love love this movie!!!! It was great!!! Love the action, the comedy, loved that it was filmed on the islands! Love Dwayne Johnson he is one of my favorite actors! My favorite part had to be the Samoan worrier fight scene where they took their shits off!! Lol",1
2.5,I liked seeing the Rock. I strongly disliked the extra audio that played with every action scene. Nothing like extra loud kicks or punches. It was predictable. I actually fell asleep 😞,-1
5.0,It was very good. They did justice to all three actors (included Edris) even though they only played up to two in the trailer. Let’s not forget the females were good too.,1
5.0,It was very funny and it has my two boyfriend's Dwayne Johnson and Jason Statham...what else can I ask for...,1
4.0,Action packed from the start,1
5.0,Typical Fast and Furious movie with high action and fast cars. Love it every time.,1
4.5,It was action packed through the whole movie and kept you on the edge of your seat the entire length of the movie.,1
2.5,parts of it were funny and intertaining but it was too obvious that it was unrealistic.,-1
5.0,"Great movie! Did not disappoint, tons of action as to be expected from the Fast and Furious franchise.",1
3.0,This movie was absolutely ridiculous but it’s decent if you’re looking for brain dead action,0
5.0,The movie was action packed from beginning to the end. Not once did I take my eyes off the screen (ok lets be honest off Idris Elba). It was so good I would love to see it again,1
5.0,This was one of the best in the entire franchise.,1
3.0,it was just OK. the action was bad ass. for me it felt a bit forced between the two coatars.,0
5.0,It was so much action that it actually kept my attention throughout the movie. So much action with the right amount of comedy to keep me entertained.,1
4.0,Samoa scenery and action,1
5.0,This was a great movie to take both the young and old to. Fast enough to captivate the teens attention and carne enough for the seniors not to get furious with!,1
5.0,Loved it!! Action packed!!,1
3.0,"Could've been a little more better. They'll have another chance to redeem themselves, when the next one comes out. #BringBackTheOtherCharacters",0
5.0,I liked it because Hobbs & Shaw are super smart and they know what they're doing.,1
5.0,"Love anything with the Rock, good movie n funny",1
5.0,"This might be THE GREATEST MOVIE EVER MADE! is it ridiculous? yes. Is it juvenile? ofcourse but none of that matters because above all this movie is fun. All the jokes land, all the action movie tropes are perfect. everything about this movie is awesome. You even get to see Roman Reigns speer someone. perfect movie.",1
5.0,It's a good movie. Worth watching.,1
4.0,"Loved most of the action...love love the stars...Edris, Dwayne and Jason all very good actors..they were the best part of the movie even tho my guy Edris was a bad guy. On the other hand the movie was a bit long winded and corny at times. Still, I enjoyed it and will watch it again when it comes out on tv.",1
5.0,Non stop action and the Rock is so sexy,1
5.0,Very entertaining!! My sons loved it.,1
5.0,"It was just what one would expect and definitely enjoy. Its a ACTION movie. No disappointment lots of cars crashes , fights and bad guys vs extra bad guys. Humor is an Extra level. Also tender family issues which was another layer that I enjoyed.",1
4.5,"What I liked most were the surprise cameos, hilarious. Go chase sequences and funny throughout.",1
4.0,I was surprised on how hilarious it was going to be! The Rock and Statham were a great duo and their banter just made the movie. We did intend to go see this movie but glad we did. I would definitely recommend this movie if you are looking for am action packed comedy.,1
4.5,Lots of action and comedy!,1
5.0,I loved this movie. It has suspense and action. It makes you laugh and has a suprise ending too it. Can't wait for the next installment of the fast and furious movie's,1
5.0,"Intriguing plot. Fast action, lots of interesting twists and turns. Humor. Inspiring.",1
4.0,Lots of action and comedy. We loved it!!,1
5.0,this movie confirms my belief that everyone needs to own a flamethrower. just because they are so much fun,1
5.0,"Awesome. Stunts were insane. I really liked those 3, fine men, which all 3 brought their own power and attention to life. I saw it twice.",1
4.0,Action filled and good movie,1
4.5,Action packed movie from beginning to end is what I like !,1
4.0,There was alot of action and it was funby too.,1
2.0,Not much of a story really could have been better,-1
3.5,My first Fast and Furious movie. Enjoyed the characters and the action,0
5.0,Story and action awesome.,1
5.0,LOVE IT... LOVE IT... LOVE IT,1
4.0,good but slow in parts,1
4.0,Good movie lots of action laughs enjoy it the stunts were unbelievable I would watch it also I recommend it to anyone looking to see an action movie,1
5.0,"If you like action movies don't miss this one! (also, stat for the credits)",1
5.0,The entire movie from beginning to end was absolutely incredible! Must see!!!,1
5.0,"A super fun ride! Pacing was intense enough to be entertaining without overwhelming. The humor hit on multiple levels, and had us cackling at all the right times.",1
5.0,"Fast, furious, and FANTASTIC!!!",1
4.0,"Great story, well captured and beautifully edited. Some parts were slightly cheesey and a tad to much cursing for my kids.",1
4.0,"I went to the movies to be entertained and got just that. Very funny, unexpected camo's (Kevin Hart), Just what i needed. Lived up to the Fast & Furious name.",1
3.5,Fun movie. Made me want to see some of the other FF movies,0
5.0,Outside of John Wick 3 Hobbs & Shaw was the best action movie that I've seen in a while!,1
5.0,Fun movie!!! Lots of hilarious banter between Hobbs and Shaw!!! Action was pretty good too.,1
5.0,it was great and hilarious.,1
1.0,unrealistic situations corny jokes and the plot was terrible. the bionic man was the worse part.,-1
5.0,Very funny and entertaining,1
2.0,over the top. exaggerated action.,-1
1.0,It wasn’t far from good,-1
3.0,"It was ok, not what I was expecting but an action tick non the less",0
5.0,"Best movie ever!!!! Had everything! Action, comedy, love, and family!!! And the Rock!!!",1
4.0,liked the talks between Hobbs and shaw. Pretty funny.,1
4.0,Good Humour and Action. but does seem senseless some times. leave your brain home and then you will enjoy it.,1
4.5,Funny and entertaining,1
5.0,"Awesomeness R & S, Never disappoint !",1
5.0,"Great movie, a lot of action.",1
2.0,"Just another mindless action flick, you would think with the running time there would be more depth but it’s just flat. The dialogue between the two was cringeworthy and overdone, could have seen this played out differently.",-1
5.0,Great summer action movie !! Great chemistry between the actors and lots of humor!!,1
5.0,lots of action and the dialogue was funny,1
4.0,Fast paced & action packed like I love. It was great to have so much eye candy and sexy cars on one screen. It was funny & an adrenaline rush at the same time,1
5.0,it was awesome...no dislikes,1
5.0,great movie. action packed!,1
5.0,Very good body count. Meaning lots of killing and fighting. Lots of action awesome movie. I highly recommend this movie.,1
5.0,Love all the action and special stunts... even if it is CGI,1
4.0,"This was a good action movie, with great visual effects. I like that the bad guy had the best weapons, which is unexpected. The only drawback was that some of the lines were a bit cheesy.",1
5.0,"It was exactly as we expected. Lots of action and interaction between the characters. Hobbs and Shaw are opposites and compete in the film. The final action seen was a bit too much over the top with the special effects and unbelievable in my elderly opinion. I guess I like movies that have car chases, for example, using real cars performing amazing feats like in the action film Bullet. However, my wife loved the effects. It was really a lot of fun and we pigged out on popcorn too. We noticed there was lots of fighting and shooting as expected but no actual gore which was not needed. We will watch it again.",1
5.0,Love the humor and the thrill of it! All the actors did a fantastic job!,1
5.0,One of 2019 best action movies a must see,1
5.0,Dwayne Johnson and Jason stahem have great chemistry in this movie. The back and forth is funny.,1
5.0,I think this is one of the best fast and furious movies. It has a little bit of everything action and comedy.,1
5.0,I loved the way he went to his family for help...,1
3.5,Slow 🤪 Lots of talking not the best,0
3.0,The opening could have been better.,0
5.0,"Funny, lot of action. Good flick.",1
0.5,Not what I expected it to be according to all the hype,-1
4.0,Lots of action but not a race car movie. Plot was OK. I really like Duane Johnson which is the main reason I went. Ryan Reynolds' cameo was too funny. You have to stay till the VERY end of the movie. They do like three extra scenes. Wait for the lights to dim up. We were the only ones left in the theater who saw the second and third clips.,1
5.0,It was awesome and more than we expected and might go see it again!,1
5.0,"Love The Rock, he plays these characters very well. Some movies make me feel like I just wasted my money. This is not one of those movies.",1
4.0,"Lots of action, good family values movie. Very enjoyable.",1
4.0,"Fun action movie, don't take it too seriously and you will enjoy yourself.",1
4.0,lot of action love it.,1
5.0,It’s a outstanding movie if you want all action you got it If you wanted a plot you got it Those three actors and actress work well together it was a outstanding action movie And I’m looking forward to the sequel,1
5.0,Extremely good action and adventure movie.,1
5.0,"I thought it was good, my only problem was that I think there was way to much emphasis on packing the movie with constant action, other than that funny, action packed, and warm family back bone.",1
5.0,The action was great. I liked the special effects,1
4.0,Fast paced and fun. Look for references to other characters these guys have played.,1
4.0,It was a good movie just didnt seem like a fast and furious movie though,1
5.0,Action-packed and characters had good chemistry together!,1
5.0,Well coordinated action. Just the way I love it 🥰,1
5.0,"Loved the action and the comedy in it, great actors and surprise appearances!!",1
4.0,it was very good movie to wacth it just a little bit kind off boring but then it gets good Towards the middle,1
4.0,four stars for now and I'm assuming a part2 is on it's way. the story line try not to make it choppy at least twice I saw it for brief seconds. other then that all categories into one with the action scenes awesome.,1
5.0,"it was an awesome movie, had action, it was funny, & the excitement was great. and I love the Rock.",1
5.0,The action was mostly non stop. The humor between them was very well timed ants the sexual tension between Hobbs and Shaw's sister was on point.,1
3.0,it was way to long of a movie and it dragged. my husband liked it though,0
5.0,"Action packed, special effects were terrific!",1
3.0,"Entertaining movie, with a lot of callbacks to prior ones. Decent comedy mixed with action. But overall it was a average plot and a lot of unbelievable potholes. Still worth watching if you’re a fan of the series and the Rock.",0
5.0,Seats could be more comfortable,1
5.0,The whole movie was great!,1
5.0,"The action , The Rock and John Statmsn",1
5.0,great action with comedy thrown in... these two actors work so well with each other on the screen! Written well too. Full of unexpected action and surprises.,1
3.5,It was ok definitely more comedic than I thought it would be.,0
5.0,Best movie ever I loved it,1
5.0,"Great action film with two amazing actors! If youre a fan of the Fast movies, youll absolutely love this one!",1
5.0,The action was amazing! The surprise (for me anyway) supporting actors perfect choices!,1
5.0,Loved it ! Action packed movie with humor and love !,1
4.5,It has alot of action and was one of my favorite movies,1
5.0,"Non-stop action, Muscles, girls, guns, and cars. It's one of my favorite movies of the year! It is doing its own thing and it works. Can't wait for the sequel!",1
5.0,Really Good Movie....loved every second can't wait for part 2,1
2.0,nothing new. nothing exciting. acting was force and the dialogue was boring.... the fight scenes were not special nothing I haven't seen ..... I know there is another one coming up..... I will wait for DVD or Netflix to see it..... I thing they have run out of ideas....,-1
5.0,"LOTS of action and quite a bit of puns, banter, and some slapstick moments. Lots of eye candy, would definitely recommend.",1
5.0,"It was funny, everything you expect from a movie like that",1
4.0,def a different experience then the other movies,1
5.0,I like everything about it funny a lot of action in it . Worth seeing,1
5.0,omg this Movie is freaking awesome..,1
5.0,Major comedy action movie. The Rock and Jason do not disappoint.,1
5.0,great and super funny,1
1.0,We left within 15 minutes. Stupid humor...,-1
5.0,Great movie! Fast paced and lots of action!,1
4.5,I liked the action and fight scenes but Hobbs holding a helicopter dot-dot-dot that's a little much. Good entertainment,1
3.5,I Max was very loud with this movie.. smile,0
5.0,funny and action... best kind of movie there is.,1
5.0,Action packed movie with a good plot!,1
5.0,Fantastic! great action flick,1
5.0,Great movie. Lots of action & humor.,1
5.0,i liked everything but i dislike that it was too crowded and no room for things,1
5.0,love this movie all the way through.,1
3.0,I mean...it was entertaining.,0
5.0,"What a fun movie! I went in expecting stunningly dramatic action, and I got exactly that. Amazing!",1
5.0,Loved the slow mo..!!,1
3.0,"Fun and fast paced, good action, and the Rock and Statham really work well together on screen.",0
5.0,Great Movie! Action from beginning to end.,1
5.0,The chemistry between Jason and Dwight was delightful. It went through a whole range of emotions. It had lots of action interspersed with family drama.,1
5.0,"love it, super funny! my family enjoyed it!!!",1
5.0,I liked the action and the comrade between The Rock and Jason Statham. The scenes in Samoa were great!!!!,1
5.0,Loved this movie! Lots of action and humor.,1
4.5,Loved it is all I can say,1
4.0,Awesome it was a great movie,1
4.0,"A fun, action fueled, pop corn movie that deals with the themes of family, forgiveness, abandonment and reconciliation.",1
2.5,It was funny.... better than the others. The ending was battle was bleh with the family and the bad guys.,-1
5.0,Shaw is a little wanker throughout the movie. Plus a sidekick if you ask me.,1
5.0,So funny!! Love both of the main characters!,1
5.0,Love the play between these 2 Sexy MF'' Action avalanche! Felt like I was them speeding out of the parking lot!,1
5.0,It was an action packed filled movie. Awesome job. Cant wait for the next one.,1
5.0,Fun fast moving movie! We all enjoyed it and were pleasantly surprised!,1
2.0,"the movie sucked, the time portrayal was awful, the cinematography was excellent but the story telling was terrible. So bad it was funny. wouldn't reccomend.",-1
1.0,"Weak storyline, didnt like the background music. Expected more from a Fast & Furious branch-out. Would spend more money or time on the franchise.",-1
5.0,I loved the surprise of the guest actors and how they popped up! The graphic were amazing and the special effects really were exciting !!,1
5.0,This is non-stop action & fun!! Impossible stunts & effects & GREAT actors who play off each other seamlessly!! It's laugh out loud & don't blink 'cause you'll miss another impossible situation!! Yeah...kinda liked it...,1
5.0,So much fun! Action packed from start to finish! And the 2 big cameos were hilarious!,1
5.0,Loved this movie tons of action!!! Can't wait till the next one!!!,1
5.0,Funny with a lot of action. You must see this.,1
2.5,Started out great! Lots of action. Then the last half floundered with unnecessary sentimentality and old school predictability.,-1
3.5,It was really good! It was hilarious and got you in the feels too. Loved it. The only thing that would have made it better is if at least ONE of the original team members would have been in it.,0
5.0,"really good movie, lots of action scenes, johnson and statham are a great duo!!",1
3.5,Follows in the Fast and Furious franchise with hilarious banter between Hobbs and Shaw. Fun movie but don’t expect it to be at all realistic.,0
3.0,"kind of long, redundant.",0
3.0,A little too much nonfiction scene.,0
4.0,for someone who never watched any of the other past films I quite enjoyed this movie. I was just a little confused for some parts cause lack of knowledge from past movies still great though,1
5.0,I loved the comedy mixed with a good story and lots of great action scenes and lots of explosions of course.,1
4.0,Lots of action. I loved the Samoan kick ass,1
4.0,It was good! Some parts didn't make sense lol but it was entertaining!,1
5.0,The movie was hilarious. I really enjoyed the playful banter between both the leads.,1
5.0,Funny good combo of three main characters and secretly putting in Ryan Reynolds and Kevin Hart,1
3.0,Okay movie but not up to par with the F&F franchise. I know it was just a spinoff but I anticipated more.,0
5.0,Packed with action!!!,1
4.5,"Great acting. The action was non-stop, the special effects were awesome. Cannot wait to see the sequel.",1
5.0,good mix comedic banter and action,1
3.0,"Although it was a good movie, the beginning seemed a little bit dragged on",0
4.0,I liked the movie the only thing I really didnt care for was some of the parts were not realistic and could not really happen. Just my opinion,1
5.0,Loved it. I hope to see Jason Momoa as part of Hobbs family next time!,1
4.0,This is a good comedic spin off of Fast and Furious. The action is there but overall I think this is best viewed as a comedy,1
5.0,Those actions scenes were on point!!,1
4.0,"Fun to watch, lots of action and humor. The slow stuff was like pulling the parking break at 100 mph, other than that it was a good movie.",1
5.0,it was amazing and funny,1
5.0,Awesome movie! Lots of action and good humor! Stay thru the last credit! 😉,1
5.0,eventful and good relationship between the two of them,1
4.0,Entertaining but too much with the CGI Overall worth watching,1
5.0,awesome movie. lots of action. love the actors.,1
5.0,"Just what we expected from these 2 actors. Fire power, ass kicking, and explosion. Enjoyed it very much.",1
4.0,Luv the Rock and Jason Statham! Lots of action.,1
4.5,"Two of my favorite alternatives to p... I mean two of the most talented, captivating, multi-dimensional Performers were joined by a young lady I was immediately drawn to. I am a fan of owning your own s... and this movie does that from the plot to the personalities of the professionals. A+",1
4.0,lots of action and banter between Johnson and Statham.,1
4.0,very enjoyable movie,1
5.0,Great movie. I loved the effects of all the action scenes.,1
